;apk;paragraph;actual_contains_controller;contains_controller;token_list;spacy_results;spacy_results_bool;spacy_expected
1723;com.hangoverstudios.men.photo.suite.editor.app;"Hangoverstudios (""us"", ""we"", or ""our"") operates RTO Vehicle Number Details android application. This page informs you of our policies regarding the collection, use and disclosure of Personal Information we receive from users of the App.
We use your Personal Information only for providing and improving the application. By using the App, you agree to the collection and use of information in accordance with this policy.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""']";['Hangoverstudios'];True;True
1773;com.hrblock.blockmobile;"Protecting your personal information is important to us. The following guidelines set forth our general privacy practices and principles that apply to information we collect through the following products and services, which are owned or operated by HRB Tax Group, Inc., or companies related by common ownership or control (collectively, ""we,"" ""us,"" or ""our""):";True;True;"['""our""', '""our""']";['HRB Tax Group, Inc.'];True;True
1832;com.hrblock.blockmobile;©2021 HRB Digital LLC. All rights reserved.;True;True;['©', 'all rights reserved'];['2021 HRB Digital LLC'];True;True
1837;com.hrblock.blockmobile;Copyright © 2021-2022 HRB Digital LLC. All Rights Reserved.;True;True;['©', 'all rights reserved'];['HRB Digital LLC'];True;True
1871;com.indeed.android.jobsearch;"Each time you access or use Indeed’s online and/or mobile services and websites, including but not limited to any Indeed mobile application and browser extension or plugin (collectively the “Indeed Apps”), regardless of where it is downloaded from, and any software, service, feature, product, program and element provided by or on behalf of Indeed on or in connection with such services or websites (collectively, the “Site”), including, but not limited to, any products, programs, and services described in these Terms of Service, (a) you represent that you have read and understand the Cookie Policy and Privacy Policy; and (b) you are agreeing to the terms and conditions of these Terms of Service (the “Agreement”) then in effect with the following entity or entities:";True;True;['“site”'];['Indeed', 'Indeed', 'Indeed'];True;True
1873;com.indeed.android.jobsearch;Any references to “Indeed” or “we” in this Agreement shall mean the applicable entity as set forth above.;True;True;['“we”'];[];False;True
1900;com.indeed.android.jobsearch;For Job Seekers located in Japan, you acknowledge that when contacted by Indeed, presented as Indeed Hire (hereinafter referred to as “Indeed Hire Japan”), Indeed is acting as an employment placement business provider (as defined under applicable law). Indeed Hire Japan offers the services in accordance with these terms and the rules set forth in its website. Indeed Hire Japan will only send you Job Listings that Indeed Hire Japan determines may be of interest to you. You may also end your relationship with Indeed Hire Japan at any time.;True;True;['(hereinafter'];['Indeed', 'Indeed Hire', 'Indeed', 'Indeed Hire Japan', 'Indeed Hire\xa0', 'Indeed Hire\xa0'];True;True
2099;com.indeed.android.jobsearch;"In addition to your agreement with the foregoing terms and conditions, and notwithstanding anything to the contrary herein, the following provisions apply with respect to your use of any mobile application version of the Site compatible with the iOS operating system of Apple Inc. (“Apple”, and such mobile application, the “App”). Apple is not a party to this Agreement and does not own and is not responsible for the App. Apple is not providing any warranty for the App except, if applicable, to refund the purchase price for it. Apple is not responsible for maintenance or other support services for the App and shall not be responsible for any other claims, losses, liabilities, damages, costs or expenses with respect to the App, including any third-party product liability claims, claims that the App fails to conform to any applicable legal or regulatory requirement, claims arising under consumer protection or similar legislation, and claims with respect to intellectual property infringement. Any inquiries or complaints relating to the use of the App, including those pertaining to intellectual property rights, must be directed to Indeed in accordance with the “Questions or Complaints” section above. The license you have been granted herein is limited to a non-transferable license to use the App on an Apple-branded product that runs Apple’s iOS operating system and is owned or controlled by you, or as otherwise permitted by the Usage Rules set forth in Apple’s App Store Terms of Service. In addition, you must comply with the terms of any third-party agreement applicable to you when using the App, such as your wireless data service agreement. Apple and Apple’s subsidiaries are third-party beneficiaries of this Agreement and, upon your acceptance of the terms and conditions of this Agreement, will have the right (and will be deemed to have accepted the right) to enforce this Agreement against you as a third-party beneficiary thereof; notwithstanding the foregoing, Indeed’s right to enter into, rescind or terminate any variation, waiver or settlement under this Agreement is not subject to the consent of any third party.";False;True;['“app”'];['Apple Inc.', 'Apple', 'Apple', 'Apple', 'Apple', 'Indeed', 'Apple', 'Apple', 'Apple', 'Apple', 'Indeed'];True;True
2146;com.indeed.android.jobsearch;Use of the Indeed Resume Search Program (“Program”) by an individual who posts his or her resume on the Site (hereinafter, “Resume Owner”) or Employer on or through the Site is subject to all applicable Indeed best-practice guidelines, policies and other terms and conditions made available to you, including through the Site, on the subscription or plan purchase page, and on the FAQ and information page(s) for the country you are purchasing a subscription or plan for, any or all of which may be modified at any time. Purchasing additional subscriptions or plans, or modifying subscriptions or plans may reset the monthly billing date for subscriptions or plans associated with your account, resulting in pro rata charges to account for the new date. If you purchase a new plan in India during the duration of your current plan, the new plan will begin after your current plan ends.  You shall not use any information obtained from the Site except for internal use in selecting and contacting Resume Owners, through Indeed, for purposes of filling your Job Listings. You shall not use the Indeed Resume Search Program for  any directly or indirectly illegal, discriminatory, or fraudulent purpose. You are solely responsible for your use of the Program, including but not limited to, how you search for Job Seekers, who you decide to contact, and any employment related decisions you make. Contact information provided by Indeed, including any Relay Service email address, is for your individual use only and may not be shared with any other person. You are expressly forbidden from using any product or system intended to extract the information from a Resume, in order to circumvent the Resume contact system. Use of such system will result in your immediate termination from the Program. In addition, as a feature of the IRSP, Indeed may send emails to Job Seekers on your behalf indicating that your Job Listing is potentially a match for the Job Seeker’s resume. In some circumstances, Indeed may limit the number and/or frequency of times you may contact a Job Seeker through the Site. For example, if you contact a Job Seeker, and the Job Seeker does not express interest or contact you back, you may not be able to contact them again for a period of time.;False;True;['(hereinafter'];['Indeed', 'Indeed', 'Indeed', 'Indeed', 'Relay Service', 'Resume', 'Indeed', 'Indeed'];True;True
2460;com.indeed.android.jobsearch;©2022 Indeed;True;True;['©'];[];False;True
2462;com.informativesolutionz.habitsexdrive;Informative Solutionz built this app as a Free app. This SERVICE is provided by Informative Solutionz at no cost and is intended for use as is.;True;True;['at no cost and is intended for use'];['Informative Solutionz', 'Informative Solutionz'];True;True
2497;com.joinhomebase.homebase.homebase;Welcome to the web site (the “Site”) of Pioneer Works, Inc. (“Pioneer Works”, “we”, “us” and/or “our”). This Site is operated by Pioneer Works and has been created to provide information about our company and our services provided under the name “Homebase” and related technologies. This Privacy Policy sets forth Pioneer Works policy with respect to information including personally identifiable data (“Personal Data”) and other information that is collected from visitors to the Site and Services.;True;True;['“we”', '“our”', '“us”', '“site”'];['Pioneer Works, Inc.', 'Pioneer Works', 'Pioneer Works', 'Homebase', 'Pioneer Works'];True;True
2596;com.lalatoon.android;"
 lalatoon CO., Inc​(“lalatoon”, “the company”, “we”, “us”, “our”) values your privacy rights and protects the personal information collected, stored, and used in connection with lalatoon Service(“Service”). Hence, we developed a Privacy Policy that covers how we collect, store and use your information.";True;True;['“we”', '“our”', '“us”', '“service”'];['lalatoon CO.', 'lalatoon Service(“Service'];True;True
2691;com.logmein.gotowebinar;"Company
About Us
Careers
Partners
Security & Privacy
Features
Remote Access
Remote Control
Endpoint Management
Patch Management
Remote Monitoring
Remote Deployment
Resources
Support Center
Community Forum
Contact Sales
Blog
More Products from LogMeIn
Communications & Collaboration
GoToMeeting
GoToConnect
GoToRoom
GoToWebinar
GoToTraining
Grasshopper
Engagement & Support
LogMeIn Rescue
GoToAssist
Identity & Access
LogMeIn Central
LastPass
LogMeIn Pro
GoToMyPC
Connect With Us
© 2022 LogMeIn, Inc. All rights reserved.
Terms of Service
Privacy Policy
Anti-Spam Policy
Trademark
Cookie Preferences
Your Choices Regarding Cookies on this Site
We use cookies and other technologies to optimize functionality, gain valuable feedback, and to ensure that your interactions with our websites and services are simple, secure, and meaningful. To learn more about how we use cookies, please refer to our Privacy Policy. You have the ability to manage your cookie settings and preferences by clicking ""Change Settings."" Otherwise, clicking ""Accept Recommended Settings"" indicates that you agree to our use of cookies on your device.
Change Settings
Accept Recommended Settings
Powered by:";True;True;['©', 'all rights reserved'];['LogMeIn, Inc.'];True;True
2694;com.magoosh.flashcards.gre;"This Privacy Notice explains how information is collected, used, stored, and disclosed by Magoosh. It applies to information collected when you use or access our public websites (Magoosh.com), mobile apps and software product (“Product”) (collectively, the ""Magoosh Service""), or otherwise interact with us.";True;True;['“product”'];['Magoosh', 'Magoosh.com'];True;True
2842;com.marvel.comics;"CONTACT US
© Disney. All rights reserved
Interest-Based Ads
Children’s Online Privacy Policy
Your California Privacy Rights
Terms of Use
Privacy Policy
Do Not Sell My Personal Information
 Print Page";True;True;['©', 'all rights reserved'];['Disney'];True;True
2844;com.monstergamesproductions.rc.car.racer;"Monster Games Productions its subsidiaries and its affiliates (""Company"" or ""We"" or ""Us"" or ""Our"") respect the privacy of its users (""User"" or ""You""). We are committed to protect our User's Information. We believe that you have a right to know our practices regarding what information we collect for Admob or third party Advertisement serving technologies, and Google Analytics for collecting Games statistics we use in our Games, and under what circumstances, if any; how we use it. When you play our Games. We disclose it.";True;True;"['""we""', '""us""', '""our""', '""us""', '""our""', '""we""', '""user""']";['Monster Games Productions', 'Admob', 'Google Analytics', 'Games', 'Games', 'Games'];True;True
2905;com.monstergamesproductions.rc.car.racer;©Monster Games Productions PTY LTD 2017. All Rights Reserved.;True;True;['©', 'all rights reserved'];['Monster Games Productions PTY LTD'];True;True
2911;com.nbcsports.mobile.rsnlocalsports;This Privacy Policy explains how NBCUniversal and its affiliates (“ NBCUniversal Affiliates”) (collectively “ we” or “ us”) collect, use, and share information from or about you when you use our websites, downloadable applications, interactive TV applications, voice-activated skills, other digital services, connected devices such as theme-park devices, and off-line services that link to this policy,  or if you engage in business with us (“ NBCUniversal Services or Services”).  ;True;True;['“\xa0we”', '“\xa0us”'];['NBCUniversal'];True;True
2918;com.nbcsports.mobile.rsnlocalsports;© 2022 NBCUNIVERSAL MEDIA, LLC.;True;True;['©'];['NBCUNIVERSAL MEDIA, LLC'];True;True
